comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Hay que tierna y por qué el. Miedo no está preparado que vergüenza,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Arrogante e ingnorante,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Otro evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Aunque pidan lo que pidan, son unos pobres mediocres ignorantes, eso no lo podrán cambiar, continuación del Mas, nada más",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Este Paco quiere que todos bailen a su ritmo...imagínense con un poquito de poder...Dios nos libre...es con TUTO PRESIDENTE 💪,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
No tiene propuesta y quien es pues este paco para poner condiciones,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Jajajaja,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Sr.lara con sus actitudes a demostrado ser una persona RACISTA.SEPARATISTA.MALCRIADO.MENTIROSO.pero sabe a BOLIVIA SE RESPETA CARAJO.,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Y por q no lo pones a tus pejis pa q te pregunte y te vaya bomba. Gggghh,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Jajajaj pero si ni se sabe expresar el opa,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
El pdc = mas son la misma 💩 vendidos al narcomasismo el mas nunca mas caraj....,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Este #OPA talvez quiere colocar a la CACHUDA como moderadora 🤣🤣🤣,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Este hijo de la c******* se cree el dueño de la pelota del barrio y cuando no le gusta nada agarra la pelota y se lo mete a su casa lo mismo hace este bellaco,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Que me la chupe el paco homoxesual🍌🦙🍌💩,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Entonces que se vaya a la BIERDA ESTE AR3PUGN4NTE INDIVIDUO,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Lary es un pobre OPA igual a su jefe el pedofilo. No tiene materia gris. Tiene Puchi en vez de cerebro.,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
OPA LARI QUE VERGÜENZA NO TIENES BIEN PUESTAS TIENES MIEDO COMO TU JEFECITO EVO SI NO TE PRESENTAS QUE LA GENTE TE DE VOTO CASTIGO,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Extoridpnador chantajista típico paco corrupto,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Cobarde,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto Quiroga presidente,85.0,80.0,85.0,5.0,0.0,5.0,88.5,-1.0
Tuto Presente 💪,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Cada 5 años lo mismo,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Les guste o no TUTO será presidente👍🏼🤗,70.0,65.0,75.0,20.0,15.0,25.0,73.75,-1.0
Tuto presidente. Los otros no tienen propuestas claras. Tuto presidente y pare de sufrir.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Kiko vieja,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto presidente,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Se va comer un baile Rodrigo, Tuto lo hace pomada",90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Vamos Tuto,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto Presidente de mi nación,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
No hay otra noticia,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
A romperle la madre al que recién está estudiando teoría! 💪 fuerza!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Fuerza Tuto 🇧🇴🇧🇴🇧🇴 😎👍,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
TA TA TA VEREMOS EN EL DEVATE,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Kiko racesta,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Tuto presidente. Bamos tuto..JUNTOS.BENSEREMOS 😇😇😇💪💪💪🙏🙏🙏🙏🙏🙏🙏,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Rodrigo paz presidente carajoo,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Hombre responsable y ético,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Lara presidente,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Túto presidente 👏💪🇧🇴🇧🇴🇧🇴💪,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Para tu barrio,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Fuerza pas y Lara,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto Quiroga Adelante felicidades!!!,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Este Abuelo Masista lo único que sabe es quejarse, ya aburre con sus mentiras, que se vaya a su país EEUU, no sabe nada de Bolivia.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Pero an Anda al cuartel señor Sarnoso dale gracias,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Fuerza Tuto!!🇧🇴👍,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Totito la pregunta es un rt,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
30 años escuchando el mismo discurso ya das hasta sueño Tuto.,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Basta de debate se nota la mediocridad de los zurdos .el Español otro que habla tonteras .por su culpa se está llenado Bolivia de autos chutos robados .ya basta de tanta ignorancia .,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
TUTISTAS TUTISTAS YA ESTA LLEGANDO ESE GRAN DIA ESTE 19 DE OCTUBRE VERAN SU GRAN DERROTA Y SU ENTIERRO POLITICAMENTE DE POR VIDA YA QUE EL VERDADERO PUEBLO BOLIVIANO ESTA FIRME Y LEALMENTE DANDO SU APOYO Y VOTO A LA DUPLA GANADORA DE RODRIGO PAZ Y CAPITAN LARA ASI QUE YA SABEN TUTISTAS A LLORAR AL RIO,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto le dará cátedra a los surdos inutiles,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Los guerreros digitales opinando a favor de los corruptos e insultando los vagos vividores,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
La justicia carcelando q roban de hambre mil bs,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Yo fuera gobierno pena de muerte para ladrones q roban millones al pueblo,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Chsu kico,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Campeón en perder elecciones ggggg,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Vamos tuto hazlo pomada al chicles masimula,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto el humilla Laris,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto es exelente para robar,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Jajajaj pero tuto no va ganar degana,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Otro arce,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
A quien le interesa a mí no importa yo no voto por estos cuatro por ninguno algún problema????,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Los únicos qe lo escucharán son sus lanbe nalga busca pega chupa bolas,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Qué deje de negarse de su asesor ecuatoriano y del racismo de su vice,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Bolivia no quiere tocto vividor de los pobres y se baja calson para los gringos,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
"Éste boca de florero habla inmensidad de estupideces y el cree que son propuestas claras, peor son los ignorantes que lo creen inteligente, 🤣🤣🤣",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Ya debería de estar alistando sus maletas para irse de donde es. Ya cumplió con meter unos cuantos racistas a la asamblea para que cuide sus bienes o intereses,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
"Para que este corrupto ya conocemos su pasado, sus propuestas falsos, mata kollas.",70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO ESTABILIDAD ECONÓMICA..!!,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Vas a ganar tu esta re preparado no tienes que estar estudiando días antes como ciertos Larís,👌😆",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO LIBERA BOLIVIA DE LA MAFIA MASISTA SOCIALISTA,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
CON LOS VOTOS DE EVO RODRIGO PAZ VA TENER MAYORÍA ABSOLUTA LIS GOLPISTAS SAQUEADORES Y ASECINOS DEL 2019 VOLVERÁN A CHONCHOCORO,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO PRESIDENTE!!!!,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Yoli Peinado ni lo sueñes o saldrás despeinada,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Será q irá a ablar cómo ayudo a escapar a Evo Morales nos se olviden q Murillo le dijo en su cara q tuto era el vosero en la presidencia de yanine Añez Oscar Ortiz El manos limpias Branco terrateniente cochamanidis el jefe de los caballeros del oriente y esvonkoy sus demás aliados los q vendieron el país en un año logieros croatas,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Y porque no lo hizo en la primera vuelta???,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Solo abla del Capo Evo ojoo este vadulaque vende patrias maleantes,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
El mejor y único que podrá sacar a Bolivia de la crisis. Tuto presidente!! 🇧🇴,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
NO HAY MAS ALTERNATIVA.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Pierde su tiempo va a perder x racista mostrenco,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto viejo político dinosaurio hijo del dictador banzer nunca vas a ganar por racista te conozco usted nunca vas a cumplir sólo pareces cuando hay elecciones,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO presidente,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Este Cretino de Tuto Privatizara hasta el aire que respiramos el se Marco en la Historia de Bolivia con el Acuerdo Patriotico MIR ADN MNR dejó a muchos Bolivianos sin Trabajo Turista sólo aparece cuando hay Elecciones en Bolivia no cumple una vida Social en Bolivia Racista ladrón,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
!!! PAZ Y LARA PRESIDENTE 💪💪💪,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Con su cara de llama maleante asesino privatizador rasista narco vende Bolivia irá pues al debate no carajo !!!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"PARA DEBATIR CON UN IGNORANTE COMO ESE JPVELASCO NADIE SE PUEDE PREPARAR, COMO VAS A DEBATIR CON UNO QUE NÖ SABE QUE ES UN SATÉLITE, NO SABE SI ES COCHABAMBA LA PAZ ORURO O TARIJA, DICE SER EXPERTO EN INFORMÁTICA Y NO SABE COMO BORRAR UNA CUENTA X, UN BURRO QUE DICE QUE LOS BOLIVIANOS SON ANIMALES Y MATARA A CUALQUIER COLLA QUE SE LE CRUCE EN EL CAMINO, DEBATIR CON UN ILETRADO IGNORANTE LADRON, HIJITO DE PAPA ES COMO DEBATIR CON UN LOCO, SIN PREPARARSE AL INUTIL JPVELASCO LE GANA HASTA UN NIÑO, A LA PRIMERA PREGUNTA YA ESTARÁ EN K. O. EL TARADO JPVELASCO.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Tuto alista maleta para irse al EEUU una pena vasa perder,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Claro que va a pedir y el pone millones de dólares a eses medios vendidos para que hagan propaganda a su favor,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Para que diablos al Tuto.....PAZ Y LARA FUTURO PRESIDENTE,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Nuca ganaras deberias iirte a dormir a tu casa con tu abuelita,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Y punto FINAL FINALMENTE,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Vamos con Tuto precidente,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Kiko campion de los mensos,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Es con Tuto voto inteligente Tuto presidente,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Más allá de toda simpatía o antipatía por los candidatos, el electorado ya definió el 17 de agosto... y lo confirmará el 19 de actubre. Así de simple. 🤷🏻‍♂️",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto maleante racista!!!,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Hijo de banzer me pelas,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Las protestas de Tuto, solo interesa a los EE.UU.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
VENDEPATRIA SERVIL DEL PISTOLERO DEL NORTE,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO QUIROGA PRESIDENTE DE LOS 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴 J.P. VELASCO VICE PRESIDENTE DE 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
TUTO QUIROGA PRESIDENTE DE LOS 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO QUIROGA PRESIDENTE DE LOS 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
TUTO QUIROGA PRESIDENTE DE LOS 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
"Ya pasó su siglo en su momento no hizo nada por Bolivia no tiene partido propio no tiene empresa no sabe de economía sólo vive de su renta vitalicia cobra y se va a EEUU a disfrutar y ahora dice que va transformar Bolivia 🤣🤣 votar por Tuto es volver a confiar en Arce y Evo, fuerza Paz y Lara presidente votó inteligente capitalismo para todos viva la libertad carajo hasta la victoria siempre!!",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Vamos Tuto.. A dar cátedra..,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Boto castigo para vende patrias tuto pas y lara ala presidensia,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"✨ Con unidad, justicia y visión, Bolivia renace para todos.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Cada 5 años pero ahora este año vino con montón de mentiras para engañar a la gente quien sabe con que intenciones viene su el ya no viví en bolivia q se caye de donde vino,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Pero obvio que TUTO asistirá al debate.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Es con Tuto presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣.....,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣......,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣....,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣...,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto Solvencia intelectual a nivel mundial,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Lara vce,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Si la tiene clara para robar,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Es con tuto señores!!! P q la tiene clara!!!,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Claro el tiene propuestas claras,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Paz, Lara, presidente",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
JP. Vicepresidente y Tuto Presidente de Bolivia,85.0,80.0,85.0,5.0,0.0,5.0,88.5,-1.0
Tuto y JP son más preparados y educados,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Lara gano de lejos y el pueblo verdadero lo escucho y vio.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto presidente Juan Pablo vicepresidente,70.0,65.0,75.0,20.0,15.0,25.0,73.75,-1.0
Seria un honor trabajar con Tuto Quiroga.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Una Dupla triunfadora hasta la victoria el 19 de Octubre Tuto Presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Totalmente de acuerdo con Tuto,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
