comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
"Deberían haber hecho este mismo show cuando Evo era presidente, si van a recordarle la vida al postulante, también recuerden q nadie decía ni hacia nada durante 20 años llenos de racismo",50.0,45.0,75.0,45.0,40.0,35.0,56.25,0.0
Son expertos para hacer show,45.0,40.0,65.0,25.0,20.0,15.0,60.5,0.0
"Sigue adelante JP, lo lograremos!!",15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
El candidato de red uno,30.0,25.0,65.0,50.0,45.0,40.0,43.75,0.0
Dios los bendiga usteds van a ganar,10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
APOYO A TUTO.,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
DIOS NOS LIBRE DE LOS MASISTAS,35.0,30.0,80.0,55.0,50.0,45.0,46.25,0.0
Libres siempre libres!!! Es con TUTO PRESiDENTE.,20.0,15.0,75.0,65.0,70.0,60.0,33.25,0.0
Dios bendiga tu vida JP,10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
Vamos J P ViCE PRESIDENTE,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
Dios lo bendiga proteja cuide siempre,5.0,0.0,60.0,85.0,90.0,80.0,16.25,1.0
Dios los proteja de la gente mala en todo momento 🙏,10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
En tu sueños infantil .,50.0,45.0,65.0,20.0,15.0,10.0,64.75,0.0
"JP eres un gran ser humano, fuerza ya no saben que hacer los masistas",20.0,15.0,70.0,65.0,70.0,60.0,32.5,1.0
"Y los mal llamados medios poniendo en primera plana al sin vergüenza racista, odiador y soberbio",70.0,75.0,75.0,15.0,10.0,5.0,79.25,-1.0
"Esta gente resentida,odiadora y como le están dando duro a JP por ser cruceño ,infelices como destilan odio a todo lo que sale del oriente, pero tras que se dice algo contra ellos apelan a su vendida ley",75.0,80.0,80.0,15.0,10.0,5.0,82.25,-1.0
JPno haga caso a los lenguas largas. Son masistas.,55.0,50.0,75.0,25.0,20.0,15.0,66.5,-1.0
"Inteligente , innovador , valiente, capaz, y sobre todo educado y con muchos valores..Tuto y JP presidente",15.0,10.0,70.0,80.0,85.0,75.0,24.25,1.0
Fuerza JP ❤️💛💚💪,10.0,5.0,65.0,75.0,80.0,70.0,23.25,1.0
Dios lo Bendiga y proteja siempre 🙏🏻 Juan Pablo Velasco,10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
Bendiciones 🙏🙏🙏,5.0,0.0,60.0,85.0,90.0,80.0,16.25,1.0
Nica..... Votaría por los racistas.....,60.0,65.0,70.0,20.0,15.0,10.0,72.0,-1.0
Jp presidente tuto Quiroga presidente viva la libertad viva la democracia,20.0,15.0,80.0,70.0,75.0,65.0,32.0,1.0
Tuto cayó bajo al elegir a su vice o le hicieron pisar el palito,45.0,40.0,70.0,35.0,30.0,25.0,57.25,0.0
Siga adelante JP. VELASCO,10.0,5.0,65.0,75.0,80.0,70.0,23.25,1.0
Eso es lo que estan haciendo estos masista como hay un gran rebaño que lo apoyan cierto?,55.0,50.0,75.0,25.0,20.0,15.0,66.5,-1.0
Sigue adelante JP a esta gente que abla tanto de racismo déjalo que se muerdan la lengua 😛 estas cobras 🐍 ya falta poco para festejar el triunfo todo el pueblo te apoya sin contar con las ratas 🐀 y las moscas Masista,80.0,85.0,80.0,10.0,5.0,5.0,86.0,-1.0
"cusndo estab evo y ahora srce no se podia hacer nada porque siempre se hizo lo que a ellos les daba la gana inponian , amenazaban ,estorsionaban y por ultimo enviaban a matar y luego se hacian a las victimas ,angelitos , ovejitas sin embargo son lobos feroses raviosos y peligrosos",85.0,90.0,85.0,10.0,5.0,5.0,89.0,-1.0
Es puro montaje,40.0,35.0,65.0,25.0,20.0,15.0,58.25,0.0
Racista,65.0,70.0,70.0,15.0,10.0,5.0,76.25,-1.0
Donde esta el racista Edman Lara el es unico envidioso racista.,70.0,75.0,75.0,15.0,10.0,5.0,79.25,-1.0
SINVERGUENZA SON LOS QUE JUNTARON AL MAS,60.0,65.0,75.0,20.0,15.0,10.0,72.75,-1.0
Como es la guerra sucia mientras uno quiere ser triunfador,40.0,35.0,70.0,40.0,35.0,30.0,53.0,0.0
Dios te bendiga Juan Pablo Velasco y te proteja de esta mafia del mas,20.0,15.0,70.0,70.0,75.0,65.0,30.5,1.0
"Fuerza JP, futuro vicepresidente de Bolivia!!!",15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
Jaja,35.0,30.0,55.0,30.0,25.0,20.0,52.5,0.0
Con la bendición de Dios JP,10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
Bendiciones JP,5.0,0.0,60.0,85.0,90.0,80.0,16.25,1.0
Cómo puede ser nuestro vicepresidente un desfalcador del banco Fasil,65.0,70.0,70.0,20.0,15.0,10.0,74.25,-1.0
Falta poco para que se vayan,40.0,35.0,70.0,35.0,30.0,25.0,55.0,0.0
Vamos sigue adelante JP no haga caso a estos q quieren el mal a la gente .... todos son los masistas dolidos,60.0,65.0,75.0,25.0,20.0,15.0,70.75,-1.0
Racistas,65.0,70.0,70.0,15.0,10.0,5.0,76.25,-1.0
Fuerza señor jp,10.0,5.0,65.0,75.0,80.0,70.0,23.25,1.0
"Estamos orando por J.P Dios te guarde y te cubra con su dangre poderosa, NO TEMAS NI DESMAYES DIOS ESTA CONTIGO.🙏🙏🙏🙏",10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
Otro rata cora quien a vaciado banco facil,70.0,75.0,70.0,15.0,10.0,5.0,78.5,-1.0
No estas solo JP tenes a Bolivia en apoyo 💪❤💛💚,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
"La Red Uno no deberia tener preferencia politica, yo apoyo a Tuto, pero le atacaron mucho a Lara, y cuando aparece algo de JP no dicen nada",35.0,30.0,70.0,55.0,50.0,45.0,44.75,0.0
ACUSALE CON TU MAMÁ,60.0,65.0,60.0,20.0,15.0,10.0,70.5,-1.0
DIOS LO BENDIGA Y LO PROTEJA,5.0,0.0,60.0,85.0,90.0,80.0,16.25,1.0
Ya no saben que hablar,35.0,30.0,65.0,35.0,30.0,25.0,52.0,0.0
Tuto presidente y JP vicepresidente.,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
JP.NUESTRO VICE PRESIDENTE NATO🇧🇴🇧🇴🇧🇴,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
JP vicepresidente,10.0,5.0,70.0,70.0,75.0,65.0,26.0,1.0
Dios té bendiga siempre JP vicepresidente,10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
VAMOS JP 💪 💪💪🇧🇴🇧🇴🇧🇴,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
Tuto presidente,10.0,5.0,70.0,70.0,75.0,65.0,26.0,1.0
"El debate fué claro, con un candidato serio, propositivo,",20.0,15.0,65.0,75.0,80.0,70.0,27.75,1.0
Dios los acompañe mí Vice PDT JP,10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
Ese cuate noseve ni en la pelea de perros,60.0,65.0,65.0,20.0,15.0,10.0,71.25,-1.0
Y con tuto,15.0,10.0,65.0,65.0,70.0,60.0,29.5,1.0
"Fuerza eres todo un caballero, se te ve en los ojos la clase de persona que eres , tienes la bendición de Dios el te cuida y proteje.",10.0,5.0,65.0,80.0,85.0,75.0,21.25,1.0
Diga lo que digan no importa,30.0,25.0,65.0,45.0,40.0,35.0,45.75,0.0
Llorona quejarte atu. Mama,60.0,65.0,60.0,20.0,15.0,10.0,70.5,-1.0
Yooooooo votaré por JP,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
Racista.,65.0,70.0,70.0,15.0,10.0,5.0,76.25,-1.0
Tuto presidente,10.0,5.0,70.0,70.0,75.0,65.0,26.0,1.0
Red uno es una miiiiiik por qué no ponen l a verdad y co siempre publican a sus bolsillos pero señores es una manera educada de decir es más gente estúpida mi Bolivia se da cuenta de los males que están haciendo,70.0,75.0,75.0,25.0,20.0,15.0,75.25,-1.0
JP que yo sepa nunca escucho ensultando alos masista por ejemplo ese tal Edman y Rodrigo porque todos los masista esntán con ellos,45.0,40.0,75.0,45.0,40.0,35.0,54.0,0.0
Tuto presidente así será,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
Tuto presidente,10.0,5.0,70.0,70.0,75.0,65.0,26.0,1.0
"Dios Todopoderoso en este mundo hay mucho odio y prejuicio, todos estamos bajo tu mirada, sólo Tú, sabes lo que hay en el corazón del ser humano. Protege a la gente de bien.",15.0,10.0,65.0,80.0,85.0,75.0,23.5,1.0
Odiador busca pleito rrasista son los masista peleador se acuerda lo que dijo una bes tu presidente los cambitas están ocultando el arroz aceite acaso nose acuerdan de ese ahi nadie dise nada,75.0,80.0,80.0,20.0,15.0,10.0,80.25,-1.0
Cristalito a llorar a otra parte las malas acciones siempre tienen consecuencias 🤪,65.0,70.0,65.0,20.0,15.0,10.0,73.5,-1.0
Todos los bolivianos unidos podemos TUTO presidente de Bolivia siiiii,20.0,15.0,75.0,70.0,75.0,65.0,31.25,1.0
"Aguante JP, tiene mucho apoyo .",15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
TUTO PRESIDENTE VICE JP,15.0,10.0,70.0,70.0,75.0,65.0,28.25,1.0
Racista,65.0,70.0,70.0,15.0,10.0,5.0,76.25,-1.0
Para que saber más sobre esta persona su dinero no le sirve de nada para convencer a un país,40.0,35.0,70.0,35.0,30.0,25.0,55.0,0.0
Red uno de Bolivia siempre fue un canal partidista racista tergiversando la información y ocultando la verdad q se puede esperar si siempre tuvo color politico,70.0,75.0,75.0,25.0,20.0,15.0,75.25,-1.0
"FUERZA JP!!! tu eres un profesional humilde, educado y preparado es lo que necesita nuestra amada BOLIVIA!!!",15.0,10.0,70.0,80.0,85.0,75.0,24.25,1.0
Tuto presidente,10.0,5.0,70.0,70.0,75.0,65.0,26.0,1.0
Tuto presidente,10.0,5.0,70.0,70.0,75.0,65.0,26.0,1.0
Racistaaaaa.... Nunca,65.0,70.0,70.0,15.0,10.0,5.0,76.25,-1.0
Son los mismos que tambien le levantaban los brazos y ponían flores a Evo y luego a Luis Arce...,45.0,40.0,75.0,35.0,30.0,25.0,58.0,0.0
"Podrán alinearse con quiera, pero varios afiliados no estamos de acuerdo, por que el PDC tiene vínculos con el MAS, El transporte debe mantenerse independiente, sin servir intereses políticos.",30.0,25.0,70.0,65.0,60.0,55.0,38.5,0.0
Tuto presidente.,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0
O culparán a la derecha???????,40.0,35.0,65.0,30.0,25.0,20.0,56.25,0.0
TUTO PRESIDENTE el mejor,15.0,10.0,75.0,65.0,70.0,60.0,31.0,1.0
Tuto presidente de la Republica de Bolivia 🇧🇴🇧🇴🇧🇴,15.0,10.0,75.0,65.0,70.0,60.0,31.0,1.0
Todos los masistas se mudaron al PDC,45.0,40.0,75.0,30.0,25.0,20.0,60.0,0.0
Solo unos cuantos colgandijos,50.0,55.0,65.0,25.0,20.0,15.0,64.75,0.0
Sigan apoyando al mas para que dê una vez acabe con el transporte Cruceño. PDC.,55.0,60.0,75.0,25.0,20.0,15.0,68.5,-1.0
"Difícil que tengan votos los del OPA y CHICLE,,, por eso TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴",35.0,30.0,75.0,55.0,50.0,45.0,45.5,0.0
Cuánto chicles les llevo el loco,40.0,35.0,65.0,30.0,25.0,20.0,56.25,0.0
Es que cada vez demuestran que son muchos a los que se refirió la diputada chilena.,35.0,30.0,70.0,45.0,40.0,35.0,48.75,0.0
"Rumbo al cambio verdadero en educación, salud, economía y transporte, con mejores carreteras para el progreso de Bolivia. ♥️💛💚🇧🇴🐓",20.0,15.0,75.0,70.0,75.0,65.0,31.25,1.0
Como se juntan entre ratas,60.0,65.0,65.0,20.0,15.0,10.0,71.25,-1.0
"A los dirigentes del transporte publico y demás yerbas les importa un CARAJO servir a sus bases... Solo piensan que van a conseguir ellos para su propio beneficio,.... En los transportista hay gente inteligente, savia y con criterio propio que sabrá elegir a quien merece!!",55.0,60.0,70.0,35.0,30.0,25.0,63.75,0.0
ES CON TUTO PRESIDENTE BOLIVIA LIBRE,20.0,15.0,75.0,60.0,65.0,55.0,35.25,0.0
Siguen en las mismas los sindicatos seguro les prometieron subir el pasaje como lo hizo Tongo este año....,50.0,55.0,70.0,30.0,25.0,20.0,63.5,0.0
La continuacion.que.sigan hasiendo colas por combustible..,45.0,40.0,70.0,30.0,25.0,20.0,59.25,0.0
Dp quiero ver qué hacen con el Diésel …,35.0,30.0,65.0,40.0,35.0,30.0,50.0,0.0
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0
Creo que el trasporte público quiere quedarse sin pasajeros otraves,40.0,35.0,65.0,35.0,30.0,25.0,54.25,0.0
"Realmente de no creer, están viendo lo que le pasa al transporte con un gobierno como el de Luis Arce y se dejan enchufar con el primer huevón con discurso bonito, se nota a leguas que su cerebro solo les da para ser arreados",65.0,70.0,75.0,20.0,15.0,10.0,75.0,-1.0
Tipico de los transportistas masistas despues lloran q no hay diesel ni gasolina... despues no se quejen quieren seguir igual de mal,60.0,65.0,75.0,25.0,20.0,15.0,70.75,-1.0
Por nada mas Tuto presidente !!,15.0,10.0,70.0,60.0,65.0,55.0,32.25,1.0
Por el pais? Los masistas siempre hablándonos por los demás. No los queremos masilaras,50.0,55.0,75.0,25.0,20.0,15.0,66.25,-1.0
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0
Escases,25.0,20.0,60.0,40.0,35.0,30.0,44.75,0.0
Que pena realmente está gente no sabe lo que hace parece que vivieran en otro planeta estamos en una crisis tan terrible 😡 y la siguen embarrando quieren vivir como Cuba 💩💩💩💩💩,65.0,70.0,75.0,20.0,15.0,10.0,75.0,-1.0
Por eso somos el trasero de sud américa por apoyar líderes q no tienen idea,55.0,60.0,70.0,25.0,20.0,15.0,67.75,-1.0
Los dirigentes corruptos solo piensan llenar sus bolsillos .....no quieren dejar su mamadera de robar y engañar.,60.0,65.0,70.0,25.0,20.0,15.0,70.0,-1.0
Ya les cayó su coima,45.0,40.0,65.0,30.0,25.0,20.0,58.5,0.0
"Es nomás al otro lau, este es MAS de lo mismo",40.0,35.0,70.0,30.0,25.0,20.0,57.0,0.0
Cómo les encanta la 💩,55.0,60.0,65.0,20.0,15.0,10.0,69.0,-1.0
"TUTO PRESIDENTE LIBRES DEL SOCIALISMO RODRIGO Y LARA REPRESENTAN LA IMPUNIDAD DE EVO,LA CORRUPCION DEL MAS Y LA DELINCUENCIA DE LOS AVASALLADORES DE TIERRAS, ESO ES EL PDC",70.0,75.0,80.0,20.0,15.0,10.0,78.0,-1.0
Son los masitas de siempre que solo reciben instrucciones para apoyar a los candidatos que estén con el masismo,50.0,55.0,75.0,30.0,25.0,20.0,64.25,0.0
Son los mismos masista,45.0,40.0,75.0,30.0,25.0,20.0,60.0,0.0
El transporte es el q más sufre con la situación actual y el q menos entiende q se debe pensar bien para no repetir los mismos errores…por eso tenemos el país q tenemos 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️,45.0,40.0,70.0,45.0,40.0,35.0,53.25,0.0
Tuto Presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0
Este país merece todo lo que le está pasando,40.0,35.0,65.0,35.0,30.0,25.0,54.25,0.0
Cuanto dinero corrió para los dirigentes ❓️❓️,35.0,30.0,65.0,40.0,35.0,30.0,50.0,0.0
SE VENDIERON POR UN CHICLE...,50.0,55.0,65.0,25.0,20.0,15.0,64.75,0.0
Y se la creen ? Más d lo mismo,40.0,35.0,65.0,30.0,25.0,20.0,56.25,0.0
Estos tontos del transporte público se perjudicará con la nacionalisacion de chutos y apoyan a lara,55.0,60.0,70.0,25.0,20.0,15.0,67.75,-1.0
"Otra vez el populismo, sacando sus malas costumbres, para conseguir favoritismo criollo.",45.0,40.0,70.0,35.0,30.0,25.0,57.25,0.0
Q lambiscones... No tienen dignidad,55.0,60.0,65.0,25.0,20.0,15.0,67.0,-1.0
Que sinverguenzas,50.0,55.0,65.0,25.0,20.0,15.0,64.75,0.0
Seguro les ofrecieron algo por abajo a dirigentes por que el PDC no garantiza nada y el transporte es el que hoy está pasando la factura más grande por la falta de combustibles pero si estos dirigentes quieren hacer negocios allá ellos,50.0,45.0,70.0,40.0,35.0,30.0,57.5,0.0
Otra vez el transporte vendiendose como mercancia y sin los que mas se sufren de las nefastas concecuencias,45.0,40.0,70.0,35.0,30.0,25.0,57.25,0.0
Estos se apoyan a un candidato zurdo que lo cagaron nuestra patria por intereses sindicales,60.0,65.0,75.0,25.0,20.0,15.0,70.75,-1.0
Opas!!,45.0,40.0,65.0,25.0,20.0,15.0,60.5,0.0
Que dicen los tarijeños?,25.0,20.0,60.0,45.0,40.0,35.0,42.75,0.0
Los que quieren estar en el fango que lo hagan,40.0,35.0,65.0,35.0,30.0,25.0,54.25,0.0
Todo el transporte es masista,40.0,35.0,75.0,30.0,25.0,20.0,57.75,0.0
"Que bárbaros!!! Después que no estén llorando por combustible... estos son continuidad del masismo!!!. Ahora les prometen todo!! Con tal de tener apoyo... no se olviden que gracias a estos masistas el país está así de mal...por favor piensen bien... piensen en el futuro de sus hijos, nietos,Sobrinos!!",55.0,50.0,75.0,40.0,35.0,30.0,60.5,0.0
Como dijo un pensador: La ignorancia de las masas es la fuerza de los gobernantes,35.0,30.0,70.0,50.0,45.0,40.0,46.75,0.0
Unos cuantos gatos....,40.0,35.0,65.0,30.0,25.0,20.0,56.25,0.0
Es en serio??,30.0,25.0,60.0,40.0,35.0,30.0,47.0,0.0
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0
TUTO QUIROGA PRESIDENTE de BOLIVIA ❤️🇧🇴🇧🇴❤️💪. JP VICEPRESIDENTE de BOLIVIA 🇧🇴❤️💪,15.0,10.0,75.0,65.0,70.0,60.0,31.0,1.0
TUTO Y JP VELASCO al poder,15.0,10.0,75.0,65.0,70.0,60.0,31.0,1.0
Que esperaban son los mismos que apoyaron a Evo y arce,40.0,35.0,75.0,35.0,30.0,25.0,55.75,0.0
Estos masistas brillan de burros y relampaguean de brutos.,65.0,70.0,75.0,20.0,15.0,10.0,75.0,-1.0
Brutos los chóferes los del PDC son el MAS y en Cochabamba están obligando a salir para apoyar al PDC,65.0,70.0,75.0,25.0,20.0,15.0,73.0,-1.0
Ws de opas creer a los socialistas,55.0,60.0,70.0,25.0,20.0,15.0,67.75,-1.0
Así nomás es la plata que reciben los dirigentes pegas y apoyar al más huevas se quedaron callados cuando el MAS jodió el pais,60.0,65.0,75.0,25.0,20.0,15.0,70.75,-1.0
Tuto presidente,10.0,5.0,70.0,65.0,70.0,60.0,28.0,1.0
Grupo de masistas y Evistas,45.0,40.0,75.0,30.0,25.0,20.0,60.0,0.0
Entre corruptos se perdonan,50.0,55.0,70.0,25.0,20.0,15.0,65.5,0.0
Después seguirán en las colas piensen sres,40.0,35.0,65.0,40.0,35.0,30.0,52.25,0.0
Masistas de la M.,50.0,55.0,70.0,25.0,20.0,15.0,65.5,0.0
Rodrigo PAZ presidente 👌,15.0,10.0,70.0,65.0,70.0,60.0,30.25,1.0
Es sabido que todo el transporte son masillamas,45.0,40.0,75.0,30.0,25.0,20.0,60.0,0.0
Está ratas son masista,55.0,60.0,70.0,25.0,20.0,15.0,67.75,-1.0
Cuál ahora... Viven didculpandose,35.0,30.0,65.0,35.0,30.0,25.0,52.0,0.0
Estos del transporte. Son MASISTAS corruptos,60.0,65.0,75.0,25.0,20.0,15.0,70.75,-1.0
Ya firmaron compromisos sin ser nada todavía raro🤔,35.0,30.0,65.0,40.0,35.0,30.0,50.0,0.0
Gente nefasta!!!!,55.0,60.0,65.0,20.0,15.0,10.0,69.0,-1.0
A todos los dirigentes los está comprando y los otros busca pega x q las bases n están d acuerdo eso tengalo x seguro,45.0,40.0,70.0,35.0,30.0,25.0,57.25,0.0
Que macana eso más faltaba q sea del otro equipo.estos comunista,55.0,60.0,75.0,25.0,20.0,15.0,68.5,-1.0
"Gente desubicada, les encanta las colas por combustible, son cuerudos no ?",50.0,55.0,70.0,25.0,20.0,15.0,65.5,0.0
En santa cruz nadie te apoya oye opa ..,55.0,60.0,70.0,25.0,20.0,15.0,67.75,-1.0
Siempre han sido Perros,60.0,65.0,65.0,20.0,15.0,10.0,71.25,-1.0
UN PEQUEÑO SECTOR QUE SE UNE AL LARY DESERTOR ... LA MAYORIA DE TRANSPORTISTAS EN TODO EL PAIS FIRMARON ALIANZA CON TUTO PRESIDENTE TUTO SALVARÁ EL PAIS,35.0,30.0,75.0,55.0,50.0,45.0,45.5,0.0
Es. Con. Tuto.. No. Con. Masistas.,25.0,20.0,75.0,55.0,60.0,50.0,39.5,0.0
Rodrigo paz y lara presidente de Bolivia ...,15.0,10.0,70.0,65.0,70.0,60.0,30.25,1.0
Después de que JP y Tuto hundan a su partido por racistas no tienen opción de ganar nada,55.0,60.0,70.0,25.0,20.0,15.0,67.75,-1.0
Meme Sing GIF by Travis,20.0,15.0,55.0,45.0,40.0,35.0,39.75,0.0
Igual de asquerosos !!,55.0,60.0,65.0,20.0,15.0,10.0,69.0,-1.0
SOCORRO..,30.0,25.0,60.0,40.0,35.0,30.0,47.0,0.0
Happy Hashtag GIF,20.0,15.0,55.0,45.0,40.0,35.0,39.75,0.0
TUTO PRESIDENTE JP VICEPRESIDENTE,15.0,10.0,75.0,65.0,70.0,60.0,31.0,1.0
Tuto Presidente 🇧🇴❤️💛💚💯💯👏🏻👏🏻👏🏻💯💯💯🇧🇴👏🏻💯💯💯👏🏻👏🏻👏🏻❤️💛💚,15.0,10.0,75.0,65.0,70.0,60.0,31.0,1.0
Los sindicatos masistas de micreros* 🤡,55.0,60.0,75.0,25.0,20.0,15.0,68.5,-1.0
Que le ven a este exalcalde de Tarija ladrón inútil 25 años viviendo del estado cerdo masista Rodrigo paz,75.0,80.0,75.0,15.0,10.0,5.0,81.5,-1.0
"Todos los sectores fuertes y demás está con el, es con el gente toda Bolivia 🇧🇴 con Rodrigo Paz y Edman Lara 25-30🤩🤷🏻‍♂️ los demás a llorar al río.🤷🏻‍♂️",35.0,30.0,75.0,55.0,50.0,45.0,45.5,0.0
TUTO PRESIDENTE 🇧🇴,15.0,10.0,75.0,65.0,70.0,60.0,31.0,1.0
YA ESTÁ DECIDIDO RODRIGO PAZ PRESIDENTE 👏👏👏👏👏👏👏👏👏👏👏👏👏👏🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴💯💯💯💯💯💯💯💯💪💪💪💪💪💪💪💪,20.0,15.0,75.0,60.0,65.0,55.0,35.25,0.0
TUTO PRESIDENTE DE BOLIVIA 💪🏿💪🏿💪🏿💪🏿💪🏿💪🏿💪🏿🇧🇴🇧🇴❤️❤️🇧🇴💯💪,20.0,15.0,75.0,60.0,65.0,55.0,35.25,0.0
Luigi David Cuyati este cha.nch0 en bolaynas,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
Luigi David Cuyati en tonces va pedir fiado.😭😭😭,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
Luigi David Cuyati si un político te dice que no va a sacar préstamos te está mintiendo en la cara 🤣🤣 xq si lo va a hacer,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0
Alvaro Cuellar Caceres exacta porque habia dicho que no iba hacer prestamos porque según plata habia si nadie roba la plata an… Ver más,90.0,85.0,5.0,20.0,10.0,5.0,74.75,-1.0
Luigi David Cuyati estás en bolas gil,90.0,90.0,5.0,0.0,5.0,0.0,80.75,-1.0
Joselito Tomicha Eguez ni un mástil con millones no pudo acabar 🤡🤣🤣,90.0,90.0,5.0,0.0,5.0,0.0,80.75,-1.0
Joselito Tomicha Eguez,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0
Joselito Tomicha Eguez.. Igual Vamos apoyar... Tuto es peór Cantidato Chango no lo conocen...,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0
"Joselito Tomicha Eguez eso q vaya a informar, y también informe el desastre de su Gestión en la Alcaldía de Tarija..",80.0,85.0,5.0,0.0,0.0,0.0,77.75,-1.0
"Jajajaja, se acuerdan cuando criticó a Tuto por ir a EE.UU.? Jajaja, tal cual a falta de propuestas claras, hace un copy paste… Ver más",80.0,85.0,5.0,0.0,0.0,0.0,77.75,-1.0
Oliver Cristian Terrazas Cossío Tras los pasos del Maestro.… Ver más,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
"GRACIAS A DIOS HAY SEGUNDA VUELTA PARA SUBSANAR EL ERROR QUE COMETIMOS EN PRIMERA VUELTA, VOTAR POR PAZ Y LARA FUE PARA DESCUBRIR EL VERDADERO ROSTRO DE ESTOS SOCIALISTAS CAMUFLADOS.",90.0,90.0,80.0,0.0,0.0,0.0,92.5,-1.0
Y llevará a Lara de traductor ??,80.0,85.0,80.0,0.0,0.0,0.0,89.0,-1.0
Muñe Valenzuela no estás apurado..para que vaya y le pregunté 🤣,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0
