comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Hay que tierna y por qué el. Miedo no está preparado que vergüenza,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Arrogante e ingnorante,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Otro evo,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"Aunque pidan lo que pidan, son unos pobres mediocres ignorantes, eso no lo podrán cambiar, continuación del Mas, nada más",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Este Paco quiere que todos bailen a su ritmo...imagínense con un poquito de poder...Dios nos libre...es con TUTO PRESIDENTE 💪,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
No tiene propuesta y quien es pues este paco para poner condiciones,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Jajajaja,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Sr.lara con sus actitudes a demostrado ser una persona RACISTA.SEPARATISTA.MALCRIADO.MENTIROSO.pero sabe a BOLIVIA SE RESPETA CARAJO.,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Y por q no lo pones a tus pejis pa q te pregunte y te vaya bomba. Gggghh,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Jajajaj pero si ni se sabe expresar el opa,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
El pdc = mas son la misma 💩 vendidos al narcomasismo el mas nunca mas caraj....,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Este #OPA talvez quiere colocar a la CACHUDA como moderadora 🤣🤣🤣,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Este hijo de la c******* se cree el dueño de la pelota del barrio y cuando no le gusta nada agarra la pelota y se lo mete a su casa lo mismo hace este bellaco,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Que me la chupe el paco homoxesual🍌🦙🍌💩,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Entonces que se vaya a la BIERDA ESTE AR3PUGN4NTE INDIVIDUO,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Lary es un pobre OPA igual a su jefe el pedofilo. No tiene materia gris. Tiene Puchi en vez de cerebro.,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
OPA LARI QUE VERGÜENZA NO TIENES BIEN PUESTAS TIENES MIEDO COMO TU JEFECITO EVO SI NO TE PRESENTAS QUE LA GENTE TE DE VOTO CASTIGO,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Extoridpnador chantajista típico paco corrupto,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Cobarde,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
