comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Lara y paz....,15,10,65,60,55,45,33.5,0.0
Tutor presidente,15,10,75,60,55,45,35.0,0.0
FUERZA SR TUTOOO!!!!,20,15,75,55,50,40,39.25,0.0
"Tuto presidente , hombre serio inteligente y con buenas propuestas para gobernar y sacar al país del pozo que hundieron los zurdos socialistas",25,20,80,55,50,45,41.75,0.0
VAMOS POR TUTO PRESIDENTE,20,15,75,55,50,40,39.25,0.0
"Vamos TUTO, desde aqui lo acompaño, gracias EL ALTO, los considero una ciudad de gente trabajadora y lo sostengo ante cualquiera",25,20,75,50,45,40,43.0,0.0
TUTO PRESIDENTE ❤️💛💚🇧🇴,15,10,75,60,55,45,35.0,0.0
"Si el Alto apoya a Tuto, sera presidente!!",25,20,75,50,45,40,43.0,0.0
TUTO PRESIDENTE 🇧🇴🇧🇴,15,10,75,60,55,45,35.0,0.0
TUTO PRESIDENTE 💪🇧🇴,15,10,75,60,55,45,35.0,0.0
Tuto presidente!!!!,15,10,75,60,55,45,35.0,0.0
Tuto fue proclamado con 55 personas en el alto.,40,35,75,30,25,35,56.25,0.0
No hay de otra porque el PDC con sus reuniones con este gobierno corrupto solo resultó ser de la linea masista que decepción por los que votaron por Lara,50,45,85,30,25,35,62.25,0.0
Que alegría ver al pueblo acompañando al futuro Presidente 🇧🇴Tuto Quiroga,20,15,75,55,50,40,39.25,0.0
Pero no saben que el 50% es gente pagada.,45,40,75,30,25,35,58.5,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tuto presidente ❤️❤️❤️,15,10,75,60,55,45,35.0,0.0
Tutito presidente 2025 - 2050,20,15,75,55,50,40,39.25,0.0
TUTO SERÁ NUESTRO PRESIDENTE!!!,20,15,75,55,50,40,39.25,0.0
Vamos vamos tuto se puede con libertad pasiencia humildad inteligencia actitud positiva llegaremos ala presidencia.,25,20,75,50,45,40,43.0,0.0
Ya no saben ni que más decir que pena la ignorancia digan lo digan Tuto presidente 🇧🇴,40,35,75,30,25,35,56.25,0.0
Muy poca gente 😃,35,30,70,40,35,45,49.25,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
Tutu Presidente si o si Rl es el elegido x todo los BOLIVIANS ESTAMOS CONTIGO PAPITI HIJO DE DIOS,20,15,75,55,50,40,39.25,0.0
TUTO PRESIDENTE,15,10,75,60,55,45,35.0,0.0
Fuerza Tuto!!!,20,15,75,55,50,40,39.25,0.0
Son poquitos no tiene gente,40,35,75,30,25,35,56.25,0.0
TUTO PRESIDENTE,15,10,75,60,55,45,35.0,0.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
JAMAS POR ESE VENDE PATRIA,60,65,80,20,15,25,72.0,-1.0
Tuto presidente,15,10,75,60,55,45,35.0,0.0
De payaso debe estar el tuto,50,55,70,25,20,30,64.0,0.0
TUTO PRESIDENTE,15,10,75,60,55,45,35.0,0.0
"Fuerza Tuto,líbranos de los maleantes extorcionadores vividores de la política.",30,25,80,45,40,45,47.0,0.0
"Donde mas va consentrar ese dictador aquí en el alto y cuanto va pagar para ir a ese concentración de este masacrador sepan el voto es secreto, yo no doy mi voto a los asesinos",65,70,85,20,15,25,75.0,-1.0
Por lo menos un auto baratito no una limosina acusalo con con tu mamá kiko,55,60,70,25,20,30,66.25,-1.0
Tuto presidente tiene mí voto y el de mi familia hizo mucho en un año de presidente miren historia viva bolivia libre y que viva la democracia,25,20,75,50,45,40,43.0,0.0
"BOLIVIA UNIDA, TUTO PRESIDENTE Y JP VICEPRESIDENTE 🇧🇴🇧🇴🇧🇴",20,15,75,55,50,40,39.25,0.0
Muy pocas personas a comparacion de paz en la obelisco que estaba repleto,40,35,75,30,25,35,56.25,0.0
"Este mentiroso que engaña a los Alteños, no es nada creíble.",55,60,80,25,20,30,67.75,-1.0
Siiiiii Tuto presidente,20,15,75,55,50,40,39.25,0.0
