palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,palabra_9,palabra_10,palabra_11,palabra_12,palabra_13,palabra_14,palabra_15,palabra_16,palabra_17,palabra_18,palabra_19,palabra_20,palabra_21,palabra_22,palabra_23,palabra_24,palabra_25,palabra_26,palabra_27,palabra_28,palabra_29,palabra_30,palabra_31,palabra_32,palabra_33,palabra_34,palabra_35,palabra_36,palabra_37,palabra_38,palabra_39,palabra_40,palabra_41,palabra_42,palabra_43,palabra_44,palabra_45,palabra_46,palabra_47,palabra_48,palabra_49,palabra_50
que,pena,por,nuestro,país,hoy,nos,toca,llorar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
al,igual,que,usted,todos,decepcionados,también,muchos,hoy,deseamos,escapar,de,este,país,que,va,rumbo,a,ser,la,nueva,venezue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puede,ser,una,imagen,de,texto,que,dice,prohibido,olvidar,lo,que,dijo,george,orwell,un,pueblo,que,elige,corruptos,impostores,ladrones,y,traidores,no,es,víctima,es,cómplice,,,,,,,,,,,,,,,,,,,,,
no,te,merecemos,tuto,ahora,que,la,gente,aprenda,a,vivir,con,más,inflación,sin,combustible,y,con,el,dólar,al,doble,de,precio,,,,,,,,,,,,,,,,,,,,,,,,,,
parece,que,no,conocen,como,fue,cuando,estaba,con,el,partido,de,la,adn,al,lado,de,hugo,banzer,zuarez,han,destruido,nuestra,pa,,,,,,,,,,,,,,,,,,,,,,,,,,
a,llorar,al,río,perdió,por,errores,que,cometió,como,la,elección,de,su,vicepresidente,la,guerra,sucia,su,asesor,político,dur,,,,,,,,,,,,,,,,,,,,,,,,,,,,
señor,tuto,que,lamentable,saber,el,resultado,final,de,las,eleccionesno,dude,que,habemos,muchos,bolivianos,que,teníamos,la,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cómo,todos,estamos,tristes,tenia,la,esperanza,pero,como,la,gente,prefiere,a,los,corruptos,q,tristeza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ing,tuto,quiroga,sabemos,que,sus,intenciones,fueron,las,mejores,no,como,de,los,demagogos,populistas,y,que,nuestro,pueblo,sie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nos,volvimos,a,equivocar,mi,corazón,está,roto,mi,alma,sagra,de,dolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hubo,fraude,señor,tuto,tienen,que,revisar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamentablemente,como,siempre,hicieron,trampa,las,ratas,gracias,señor,tuto,usted,quiso,lo,mejor,para,bolivia,pero,ellos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mis,respetos,señor,tuto,no,hay,mal,que,dure,cien,años,animo,seguiremos,trabajando,desde,abaja,y,con,la,confiaza,en,dios,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,vos,eras,el,indicado,vos,tenías,soluciones,viables,claras,para,nuestro,país,sabemos,que,no,iba,a,ser,un,camino,fácil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi,querido,tuto,ánimo,y,confianza,en,dioste,queremos,siempre,junto,a,nosotros,para,apoyarnos,y,darnos,la,seguridad,para,que,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
me,da,tristeza,con,lo,que,va,pasar,más,adelante,con,nuestro,país,con,estos,lari,lari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gracias,por,el,esfuerzo,qué,iso,los,bolivianos,qué,sabemos,pensar,por,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mi,comentario,ecuánime,seremos,coherentes,el,patriota,boliviano,de,donde,se,encuentre,puede,aportar,con,ideassoluciones,so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yate,lo,mereces,perder,felicidades,por,poder,los,botos,que,te,lo,mereces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamentablemente,perdieron,pobesito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
realmente,muy,educado,tuto,mis,respetos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vamos,a,salir,a,las,calles,para,elegir,un,comité,elecctal,transitorio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,quiroga,realmente,usted,es,una,persona,muy,educadopreparado,un,gran,defensor,que,dios,le,dé,fuerza,y,salud,siga,ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,era,la,esperanza,sr,tuto,gracias,por,pensar,en,salvar,bolivia,eres,grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tienen,que,poner,más,prioridad,en,la,alfabetizacion,en,el,campo,para,que,así,las,personas,no,sean,manipuladas,o,amenazada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todos,los,que,ponen,me,divierte,igual,riéndose,quiero,verlos,cuando,ya,no,tengan,ni,que,comer,ni,agua,porque,a,futuro,el,diner,,,,,,,,,,,,,,,,,,,,,,,,,,
es,normal,normal,para,el,señor,tuto,perder,cada,elección,de,que,se,sorprende,el,pueblo,es,sabio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
también,a,nosotros,se,nos,a,roto,nuestras,esperanzas,se,quedó,por,los,suelos,por,toda,esa,gente,egoísta,que,solo,piensan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y,la,de,todos,los,bolivianos,que,queríamos,ver,una,bolivia,libre,y,que,estamos,hartos,de,ver,como,el,mas,sigue,destruyendo,el,país,,,,,,,,,,,,,,,,,,,,,,,,,
gracias,sr,jorge,quiroga,por,luchar,hasta,el,final,con,respeto,y,dignidad,ya,vendrán,días,mejores,la,gracia,y,la,misericordi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prefirió,la,mediocridad,dejandose,endulzar,el,oído,con,propuestas,improvisadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lamentablemente,uvo,fraude,como,siempre,señor,tuto,quiroga,usted,es,una,gran,perzona,ahora,todo,lo,q,venga,estara,en,su,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te,queremos,tuto,que,dios,te,bendiga,siempre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el,mejor,candidato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grande,tuto,muy,inteligente,admirable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
un,verdadero,caballero,mis,respetos,dios,lo,bendiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continúa,luchando,tutote,han,hecho,fraudenos,han,hecho,fraude,los,corruptos,del,tse,y,el,sirepre,investiguen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,una,gran,pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felicitar,a,tuto,después,de,su,pérdida,eso,mo,vale,tampoco,nos,podemos,quedar,con,manos,cruzados,tuto,que,haga,el,papel,de,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,duele,hoy,con,la,cabeza,abajo,por,como,nuestra,gente,son,tan,opas,y,ingenuos,mañana,sera,otro,dia,para,caminar,con,la,frente,en,alto,,,,,,,,,,,,,,,,,,,,,,,
queria,robar,una,vez,más,y,debe,artos,favores,a,las,mafias,en,bolivia,le,van,a,cobrar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,dios,lo,bendiga,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jorge,tuto,quiroga,ramirez,gracias,por,dar,100,por,ciento,por,ser,una,persona,con,conviccion,por,una,bolivia,sana,y,propsper,,,,,,,,,,,,,,,,,,,,,,,,,,,,
por,su,parte,señor,tuto,siéntase,tranquilohizo,todo,lo,que,estuvo,a,su,alcancenada,más,que,la,gente,no,valora,las,capacidade,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,decepción,nuevamente,hicieron,fraude,que,falta,de,respeto,a,nuestro,pais,a,la,gente,que,eligio,a,tuto,gobernaran,a,la,fuerza,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,te,rindas,cuestiona,los,resultados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerza,tuto,tú,eres,grande,y,un,buen,ser,humano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,debería,gestionar,cuando,estaba,gobernando,así,la,gente,hubiera,dicho,que,vuelva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,de,muchos,bolivianos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,gente,en,su,sano,juicio,esta,quebrada,votamos,por,el,bien,pero,pues,en,nuestra,amada,bolivia,impera,el,mal,es,nuestra,dolorosa,realidad,,,,,,,,,,,,,,,,,,,,,,,,,
hiciste,y,seguirás,haci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gracias,tuto,por,todo,le,habla,un,ex,la,sallista,e,ing,industrial,también,no,sé,qué,pasa,en,el,país,luego,nos,quejamos,de,,,,,,,,,,,,,,,,,,,,,,,,,
fuerza,presidente,nos,hicieron,fraude,dios,con,todos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,del,país,está,también,con,el,corazón,roto,y,el,alma,partida,me,quedo,sin,palabras,mis,respetos,sr,tuto,fuerza,siga,adelante,,,,,,,,,,,,,,,,,,,,,,,,,,
sin,palabras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,tu,intención,fue,buenísima,gracias,eres,un,caballero,inteligente,noble,ahora,el,soberano,exige,lo,prometido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eres,un,caballero,a,cabalidad,no,te,ceintas,mal,muchas,bendiciones,que,dios,es,muy,grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,es,un,caballero,no,explicaron,que,5,minutos,antes,se,cortaron,las,camaras,fraudes,tuto,es,el,mejor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te,la,partieron,entera,por,preferir,la,plata,de,jp,en,vez,de,un,vice,de,la,paz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excelente,persona,un,gran,político,la,gran,mayoría,de,los,bolivianos,lo,admiramos,sin,embargo,muchos,no,saben,reconocer,a,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
triste,noticia,para,todos,quienes,esperabamos,un,cambio,positivo,psra,el,país,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,te,merecemos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hubo,fraude,en,el,apagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,te,queda,de,otra,que,seguir,cobrando,tu,bono,de,expresidente,sin,ganar,una,sola,elección,en,tu,vida,eso,les,pasa,por,menos,,,,,,,,,,,,,,,,,,,,,,,,,
no,existe,quien,represente,mejor,a,bolivia,que,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sad,pikachu,gif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todos,los,que,nos,consideramos,verdaderos,bolivianos,y,velamos,por,un,futuro,para,nuestros,hijos,estamos,de,luto,y,solo,nos,q,,,,,,,,,,,,,,,,,,,,,,,,,,,,
te,hicieron,un,megafraude,tuto,espero,pidas,una,auditoria,internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otra,vez,ganó,el,fraude,y,la,picardía,del,masismo,pero,dios,es,grande,y,algún,día,pagarán,todas,las,que,hacen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dolió,más,perder,los,en,las,campañas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,de,hombre,reconocer,la,derrota,tuto,siempre,en,nuestros,corazones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dios,lo,bendiga,gracias,por,todo,ahora,tristemente,toca,ver,como,se,termina,de,destruir,bolivia,dejamos,ir,la,oportunidad,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,gente,tiene,lo,qué,sé,merese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sigamos,con,las,largas,colas,en,los,surtidoressigamos,con,los,precios,por,las,nubes,de,la,canasta,familiar,y,de,todosigamos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tambien,la,mia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todos,los,que,lo,apoyamos,ingeniero,tenemos,también,el,alma,partida,se,nos,fue,la,esperanza,de,recuperar,a,nuestra,amada,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,
este,país,se,fue,a,la,ruina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aqui,hubo,fraude,todos,los,botos,del,tuto,se,lo,pasó,a,rodrigo,paz,asi,como,en,venezuela,estos,masista,seguramente,ya,benia,pl,,,,,,,,,,,,,,,,,,,,,,,,,,
muchas,gracias,te,seguiremos,apoyando,siempre,dios,lo,bendiga,dios,lo,mira,todo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,te,merecemos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,le,estan,robando,las,elecciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
una,pena,la,verdad,q,sigan,haciendo,todo,esto,para,seguir,en,el,poder,y,hacerlo,más,pobre,a,nuestro,país,mi,querido,tuto,la,,,,,,,,,,,,,,,,,,,,,,,,,
gano,el,fraude,y,la,complacencia,al,no,cambiar,a,un,sistema,mas,seguro,de,conteo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,mal,pobre,bolivia,decepcionada,triste,otra,vez,el,fraude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
como,todo,un,caballero,sr,tuto,usted,puso,su,parte,para,estar,con,bolivia,pero,los,bolivianos,ya,eliguieron,y,respetar,eso,e,,,,,,,,,,,,,,,,,,,,,,,,,,,
ganaron,con,fraude,digital,eso,es,evidente,los,votos,de,la,gente,lo,cuenta,el,tirano,y,ellos,tienen,la,maquinaria,de,hacer,f,,,,,,,,,,,,,,,,,,,,,,,,,,
muchas,felicidades,tuto,todos,los,bolivianos,concientes,votamos,por,tí,esperando,mejores,díaspara,nuestro,país,pero,sucedió,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,mia,tb,he,llorado,de,impotencia,como,es,posible,que,nos,hagan,frade,de,la,misma,manera,con,apagon,de,luz,asi,paso,aca,en,la,,,,,,,,,,,,,,,,,,,,,,,
de,muchos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todos,los,bolivianos,pensantes,y,libres,nos,sentimos,igual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siento,que,dios,pondrá,sus,manos,tuto,será,el,que,salve,a,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de,los,que,te,apoyamos,nuestras,almas,están,partidas,aún,no,hemos,podido,liberarnos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yo,vote,por,ti,igual,que,tristeza,perdimos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dimos,luchapero,la,mayoría,ya,están,podridos,no,es,en,vano,20,años,de,adoctrinamiento,y,enseñanzas,de,quien,obra,mal,no,te,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,pagar,deuda,la,millonada,qué,debe,al,ecuatoriano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esto,fue,un,fraude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q,tristeza,mas,grande,e,injusticia,muchos,nos,sentimos,asi,con,el,alma,destrozada,pobre,el,destino,de,nuestro,pais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolivia,esta,perdida,cuanto,le,durará,esa,felicidad,a,aquellos,que,votaron,por,ese,partido,porque,no,habrá,soluciónes,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
todos,estamos,decepcionados,de,estas,gentes,mediocres,q,nunca,valoran,a,un,buen,profesional,más,ciegos,persiguen,a,los,q,solo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermosas,palabras,sr,tuto,solo,queda,trabajar,xel,bienestar,de,todos,los,bolivianos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estamos,muymuy,tristes,los,que,tenemos,convicciones,por,un,país,libre,ud,no,perdió,hicieron,un,megafraude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quiere,hacer,trampa,a,veces,el,que,habla,de,fraude,son,los,fraudulentos,y,perdió,el,voto,es,la,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en,cada,elección,está,partida,ahora,te,toca,partir,a,eu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermanos,bolivianos,no,se,van,a,quejar,por,la,falta,de,combustible,tuto,era,la,solución,para,administrar,bien,bolivia,y,pagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,ganó,fue,fraude,ya,lo,tenían,claro,estos,masistas,corruptos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es,una,pena,lo,que,pasó,el,día,de,hoy,ganó,otra,vez,el,masismo,con,otra,cara,pero,con,la,misma,maldad,bueno,estén,content,,,,,,,,,,,,,,,,,,,,,,,,
de,muchos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuto,sigue,adelante,bolivia,te,quería,yo,por,mis,nietos,y,por,gente,joven,gracias,a,estás,ovejas,y,sus,bonos,estamos,al,abismo,,,,,,,,,,,,,,,,,,,,,,,,,,
gracias,tuto,por,tanto,sacrificio,py,por,ponerle,el,hombro,a,nuestro,país,bolivia,te,necesita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extraordinario,hombre,tuto,quiroga,dios,lo,bendiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
que,dios,lo,bendiga,tuto,fortaleza,el,siempre,esta,con,las,personas,de,corazón,sincero,y,que,el,siempre,lo,acompañe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuerza,tuto,los,que,votamos,por,vos,estamos,contigo,tienes,un,corazón,grande,no,pierdas,la,fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dios,dispuso,asipersonalmente,cuanto,me,hubiera,gustado,que,tuto,sea,nuestro,presidente,necesitamos,una,persona,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,estés,triste,tuto,querido,futuro,presidente,alegua,esto,fue,un,fraude,si,no,fuera,gracias,a,este,corte,de,energía,que,hubo,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,raza,de,bronce,también,vota,en,la,siguiente,ponte,el,poncho,más,ante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuestra,patria,esta,partida,gracias,tuto,por,luchar,eres,un,caballero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
muchas,gracias,tuto,por,tu,desempeño,que,dios,te,bendiga,porque,siempre,has,dicho,que,quería,lo,mejor,para,bolivia,que,fuerte,abrazo,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,mía,también,caballero,señor,tuto,eres,muy,pero,muy,respetuoso,buena,persona,grasias,por,querer,a,nuestra,bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pobre,jerusalén,palabras,de,jesucristo,cuando,ve,el,futuro,de,esa,ciudad,su,destrucción,y,la,huida,de,su,gente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gracias,por,la,confianza,tutohay,muchas,personas,que,confiamos,en,tí,y,valoramos,el,esfuerzo,de,querer,salir,adelantepero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,pelien,mejor,hagan,el,amor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no,estabas,para,ser,un,presidente,para,un,país,que,no,conoses,nunca,viviste,en,bolivia,no,conoses,la,pobresa,siempre,viviste,a,,,,,,,,,,,,,,,,,,,,,,,,,,,
te,libraste,de,cargar,con,una,cruz,enorme,tuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,verdad,es,que,este,país,no,merece,a,una,persona,tan,capaz,y,preparada,como,usted,señor,tuto,realmente,admiro,su,capacidad,,,,,,,,,,,,,,,,,,,,,,,,,,,
ya,quiero,ver,los,paros,y,quiero,escuchar,a,los,dolidos,hay,fraude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la,mía,también,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
