comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg
Yoli Peinado ni lo sueñes o saldrás despeinada,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Será q irá a ablar cómo ayudo a escapar a Evo Morales nos se olviden q Murillo le dijo en su cara q tuto era el vosero en la presidencia de yanine Añez Oscar Ortiz El manos limpias Branco terrateniente cochamanidis el jefe de los caballeros del oriente y esvonkoy sus demás aliados los q vendieron el país en un año logieros croatas,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
Y porque no lo hizo en la primera vuelta???,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Solo abla del Capo Evo ojoo este vadulaque vende patrias maleantes,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
El mejor y único que podrá sacar a Bolivia de la crisis. Tuto presidente!! 🇧🇴,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
NO HAY MAS ALTERNATIVA.,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Pierde su tiempo va a perder x racista mostrenco,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Tuto viejo político dinosaurio hijo del dictador banzer nunca vas a ganar por racista te conozco usted nunca vas a cumplir sólo pareces cuando hay elecciones,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO presidente,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Este Cretino de Tuto Privatizara hasta el aire que respiramos el se Marco en la Historia de Bolivia con el Acuerdo Patriotico MIR ADN MNR dejó a muchos Bolivianos sin Trabajo Turista sólo aparece cuando hay Elecciones en Bolivia no cumple una vida Social en Bolivia Racista ladrón,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
!!! PAZ Y LARA PRESIDENTE 💪💪💪,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Con su cara de llama maleante asesino privatizador rasista narco vende Bolivia irá pues al debate no carajo !!!,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"PARA DEBATIR CON UN IGNORANTE COMO ESE JPVELASCO NADIE SE PUEDE PREPARAR, COMO VAS A DEBATIR CON UNO QUE NÖ SABE QUE ES UN SATÉLITE, NO SABE SI ES COCHABAMBA LA PAZ ORURO O TARIJA, DICE SER EXPERTO EN INFORMÁTICA Y NO SABE COMO BORRAR UNA CUENTA X, UN BURRO QUE DICE QUE LOS BOLIVIANOS SON ANIMALES Y MATARA A CUALQUIER COLLA QUE SE LE CRUCE EN EL CAMINO, DEBATIR CON UN ILETRADO IGNORANTE LADRON, HIJITO DE PAPA ES COMO DEBATIR CON UN LOCO, SIN PREPARARSE AL INUTIL JPVELASCO LE GANA HASTA UN NIÑO, A LA PRIMERA PREGUNTA YA ESTARÁ EN K. O. EL TARADO JPVELASCO.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Tuto alista maleta para irse al EEUU una pena vasa perder,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Claro que va a pedir y el pone millones de dólares a eses medios vendidos para que hagan propaganda a su favor,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Para que diablos al Tuto.....PAZ Y LARA FUTURO PRESIDENTE,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Nuca ganaras deberias iirte a dormir a tu casa con tu abuelita,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Y punto FINAL FINALMENTE,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Vamos con Tuto precidente,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Kiko campion de los mensos,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Es con Tuto voto inteligente Tuto presidente,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Más allá de toda simpatía o antipatía por los candidatos, el electorado ya definió el 17 de agosto... y lo confirmará el 19 de actubre. Así de simple. 🤷🏻‍♂️",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto maleante racista!!!,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Hijo de banzer me pelas,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
"Las protestas de Tuto, solo interesa a los EE.UU.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
VENDEPATRIA SERVIL DEL PISTOLERO DEL NORTE,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
TUTO QUIROGA PRESIDENTE DE LOS 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴 J.P. VELASCO VICE PRESIDENTE DE 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
TUTO QUIROGA PRESIDENTE DE LOS 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
TUTO QUIROGA PRESIDENTE DE LOS 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
TUTO QUIROGA PRESIDENTE DE LOS 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
"Ya pasó su siglo en su momento no hizo nada por Bolivia no tiene partido propio no tiene empresa no sabe de economía sólo vive de su renta vitalicia cobra y se va a EEUU a disfrutar y ahora dice que va transformar Bolivia 🤣🤣 votar por Tuto es volver a confiar en Arce y Evo, fuerza Paz y Lara presidente votó inteligente capitalismo para todos viva la libertad carajo hasta la victoria siempre!!",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Vamos Tuto.. A dar cátedra..,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Boto castigo para vende patrias tuto pas y lara ala presidensia,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
"✨ Con unidad, justicia y visión, Bolivia renace para todos.",85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
Cada 5 años pero ahora este año vino con montón de mentiras para engañar a la gente quien sabe con que intenciones viene su el ya no viví en bolivia q se caye de donde vino,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Pero obvio que TUTO asistirá al debate.,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Es con Tuto presidente,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣.....,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣......,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣....,75.0,70.0,85.0,15.0,10.0,20.0,79.5,-1.0
NO CUMPLIRA NADA DE LO QUE CACAREA🤣...,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Tuto Solvencia intelectual a nivel mundial,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
TUTO PRESIDENTE 🇧🇴🇧🇴🇧🇴🇧🇴🇧🇴,90.0,85.0,90.0,5.0,0.0,5.0,91.5,-1.0
Lara vce,80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
Si la tiene clara para robar,75.0,70.0,80.0,15.0,10.0,20.0,78.75,-1.0
Es con tuto señores!!! P q la tiene clara!!!,70.0,65.0,80.0,20.0,15.0,25.0,74.5,-1.0
Claro el tiene propuestas claras,85.0,80.0,85.0,10.0,5.0,10.0,86.5,-1.0
"Paz, Lara, presidente",80.0,75.0,85.0,10.0,5.0,10.0,84.25,-1.0
