comentario,Agresividad,Ofensa,Ideología,Constructividad,Empatía,Diálogo,Total,Catg,Catg  
"GRACIAS A DIOS HAY SEGUNDA VUELTA PARA SUBSANAR EL ERROR QUE COMETIMOS EN PRIMERA VUELTA, VOTAR POR PAZ Y LARA FUE PARA DESCUBRIR EL VERDADERO ROSTRO DE ESTOS SOCIALISTAS CAMUFLADOS.",90.0,90.0,80.0,0.0,0.0,0.0,92.5,-1.0,
Y llevará a Lara de traductor ??,80.0,85.0,80.0,0.0,0.0,0.0,89.0,-1.0,
Muñe Valenzuela no estás apurado..para que vaya y le pregunté 🤣,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
Luigi David Cuyati arraigado aunque se muera por ir ps jajaja 🤡,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0,
"Muñe Valenzuela que vaya a presentar su plan de gobierno a Cuba , Venezuela, Iran a todos los países socialistas",80.0,90.0,5.0,0.0,0.0,0.0,78.75,-1.0,
"Muñe Valenzuela lo llevará a Lara de garante 😂😂y dirá que después firmará, cuando vaya en otra oportunidad por allá 🤡",80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0,
No creo que le den ni Bs 0.50 por su garantia,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0,
Muñe Valenzuela según escuche por la boca de Lara Tiene mandamiento de apremio. Dijo que no puede salir del país.,80.0,90.0,5.0,0.0,0.0,0.0,78.75,-1.0,
"Muñe Valenzuela ese Lariasno no sabe ni donde está parado,🤣🤣🤣",80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0,
Isabel Veronica Duran peor la qe opina esta en pañales,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0,
Muñe Valenzuela 🤣🤣🤣🤣🤣,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0,
Muñe Valenzuela no puede está arraigado 👎🤣,80.0,90.0,5.0,0.0,5.0,0.0,78.25,-1.0,
Muñe Valenzuela 😂😂😂😂🤣🤣🤣,80.0,90.0,5.0,0.0,0.0,0.0,78.75,-1.0,
Les vas a decir que queres nacionalizar autos chutos?,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0,
Yushara Pérez Parada obvio que otra propuesta puede tener,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0,
Vikthor Chávez bono de 2000🤦🏻‍♂️🤣🤣🤣🤣,5.0,5.0,0.0,0.0,0.0,0.0,42.25,0.0,
Yushara Pérez Parada j😂😂😂,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0,
Y eso no se llama privatización como creen que le aceptar su propuesta si no tiene un plan de gobierno y son buenos para criticar por eso los bolivianos no debemos equivocarnos vota por Tuto presidente,90.0,90.0,5.0,0.0,0.0,0.0,81.25,-1.0,
Paz y Lara 💪💪,90.0,5.0,90.0,0.0,0.0,0.0,77.0,-1.0,
Tuto nuestro presidente,0.0,0.0,70.0,10.0,80.0,5.0,40.0,0.0,
Vergüenza ajena son Paz y Lara si ni él mismo conoce su plan de gobierno ……,30.0,80.0,90.0,10.0,5.0,0.0,74.5,-1.0,
No saben ni su programa va hacer otro papelón vaya como Rodrigo no como bolivia por favor,30.0,80.0,90.0,10.0,5.0,0.0,74.5,-1.0,
Dentro su plan de gobierno nacionalizar autos truchos que les parecerá a los gringos,30.0,80.0,90.0,10.0,50.0,10.0,69.0,-1.0,
"Gonzalo Antezana Ferrufino no les inspirará confianza, con esas propuestas inalcanzable",10.0,20.0,10.0,5.0,10.0,0.0,46.0,0.0,
Tuto presidente,0.0,0.0,80.0,5.0,70.0,0.0,44.0,0.0,
Y luego sus seguidores critican a Tuto....en fin la hipocresía 🤦🏻🤦🏻,10.0,20.0,10.0,5.0,10.0,0.0,46.0,0.0,
Tuto presidente de 🇧🇴,0.0,0.0,70.0,5.0,10.0,0.0,48.5,0.0,
no le crean a ese tipo...,30.0,80.0,90.0,0.0,5.0,0.0,76.5,-1.0,
Coméntale en estados unidos que tu ayuco es un desenchufado don Rodrigo,30.0,80.0,10.0,0.0,0.0,0.0,65.0,0.0,
Contame una de vaqueros,10.0,20.0,10.0,5.0,10.0,0.0,46.0,0.0,
Pero si ellos después están culpando a los Yankees de todo 🥱🤔,10.0,20.0,20.0,5.0,10.0,0.0,47.5,0.0,
"Debería hacerlo en vivo, eso sería todo un espectáculo, ya que ni sabe que está escrito en su plan de gobierno 🤷",0.0,80.0,0.0,10.0,5.0,0.0,53.5,0.0,
No tiene la mínima p.. Idea de como hacer un plan económico para el país,30.0,80.0,10.0,0.0,5.0,0.0,64.5,0.0,
Que no lleve al Burro Lara o le va a explotar el cerebro.,30.0,80.0,0.0,0.0,5.0,0.0,63.0,0.0,
El índice que hizo en chat gpt?,5.0,80.0,0.0,5.0,10.0,0.0,55.25,0.0,
Es otro cabeza hueca como si los Bolivianos fuéramos americanos su plan de gobierno va a presentar a EEUU está muy mal Rodrigo… Ver más,30.0,80.0,10.0,0.0,5.0,0.0,64.5,0.0,
Él dijo q NO acudiría a Organismos Internacionales q pazóooooooooo,10.0,20.0,90.0,10.0,5.0,0.0,57.5,0.0,
TUTO la unica opcion Rodrigo y Lara son unos traidores,90.0,90.0,90.0,0.0,5.0,0.0,93.5,-1.0,
TUTO PRESIDENTE,0.0,0.0,70.0,5.0,10.0,0.0,48.5,0.0,
"Qué mal le hace quedar este Rodrigo al Sr. Victor Paz. 🤦🤦🤦 No le llega ni a los talones de lo que fue su tío abuelo, el Sr. Victor Paz Estenssoro.",90.0,90.0,90.0,0.0,5.0,0.0,93.5,-1.0,
Que vergüenza!!,90.0,90.0,10.0,0.0,5.0,0.0,81.5,-1.0,
Y no decía que no tienen nada que ver,20.0,30.0,20.0,5.0,10.0,10.0,51.0,0.0,
Pobre no convence a nadie el pobre,20.0,30.0,10.0,5.0,10.0,10.0,49.5,0.0,
"Uno recorre la blanco galindo y ve colas y colas de camiones esperando diésel, tuto menciona que se requiere inyectar dólares … Ver más",10.0,10.0,90.0,10.0,5.0,0.0,55.5,0.0,
Entonces que se quede a intentar gobernar por allá 🤣🤣🤬,90.0,90.0,10.0,0.0,5.0,0.0,81.5,-1.0,
"Su propuesta de nacionalizar autos robados va llevar a EEUU, que vergüenza",,,,,,,,,
"Y a quién le importa, todos saben que #EsConTuto",0.0,0.0,90.0,0.0,5.0,0.0,53.0,0.0,
Tuto presidente,0.0,0.0,90.0,0.0,5.0,0.0,53.0,0.0,
Seguro todo improvisado! Que vergüenza!,90.0,90.0,10.0,0.0,5.0,0.0,81.5,-1.0,
Tuto presidente,10.0,10.0,20.0,5.0,5.0,5.0,45.5,0.0,
Burro,30.0,40.0,10.0,5.0,5.0,5.0,55.0,0.0,
TUTO PRESIDENTE!!! Voto inteligente.,10.0,10.0,20.0,5.0,5.0,5.0,45.5,0.0,
Tuto presidente,10.0,10.0,20.0,5.0,5.0,5.0,45.5,0.0,
TUTO PRESIDENTE 🇧🇴,10.0,10.0,20.0,5.0,5.0,5.0,45.5,0.0,
Quiere copiar a tuto diciendo eso para que voten por el . todo sabemos que los americanos no quieren. A lo comunista,20.0,30.0,70.0,10.0,5.0,5.0,58.5,0.0,
"Pero que han dicho cuando fue Tuto viajó a EEUU qué está yendo a negociar Bolivia, y ahora PDC va ha ir a lo de los gringos … Ver más",10.0,20.0,40.0,5.0,5.0,5.0,50.5,0.0,
"Luego de criticarlo a TUTO, este copión sin ideas ahora pretende hacer lo mismo 🙄",40.0,50.0,40.0,5.0,5.0,5.0,64.0,0.0,
Para que quieren favores del imperio de los gringos qué tanto critican si su modelo es éxito el modelo socialista no ven la ma… Ver más,20.0,40.0,80.0,5.0,5.0,5.0,63.0,0.0,
Los americanos ya saben como son,10.0,20.0,70.0,5.0,5.0,5.0,55.0,0.0,
Lo van a sacar a patadas 😂😅,10.0,10.0,70.0,5.0,5.0,5.0,53.0,0.0,
TUTO PRESIDENTE Y YA OK.,10.0,5.0,20.0,5.0,5.0,5.0,44.5,0.0,
Descanse en paz… Ver más,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
No va alargar la mano osea se pondra de rodillas😅😆,40.0,50.0,80.0,5.0,5.0,5.0,70.0,-1.0,
"🤣🤣🤣 ya cambiaron otra vez el discurso en 1 mes ! Dios, por qué elegimos tan mal una y otra vez.",30.0,30.0,30.0,5.0,5.0,5.0,56.0,0.0,
TUTO 🇧🇴 PRESIDENTE,10.0,10.0,20.0,5.0,5.0,5.0,45.5,0.0,
"Estos quieren marear al pueblo, enc… Ver más",20.0,30.0,50.0,5.0,5.0,5.0,56.5,0.0,
"Primero debería presentarlo aquí en Bolivia... Comenzando por enseñarle el mismo a su vice, para que no siga prometiendo cosas… Ver más",10.0,10.0,50.0,5.0,5.0,5.0,50.0,0.0,
Este es demagogo ni saben que van hacer,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
Paz y Lara una decepción y vergüenza los 2 con mentalidad poco madura e irresponsable,20.0,30.0,50.0,5.0,5.0,5.0,56.5,0.0,
"OSEAseguirá cobrando sin trabajar, como es posible siga siendo cenador y a la vez Candidato, Porfavor señores deverian hacerle… Ver más",20.0,30.0,50.0,5.0,5.0,5.0,56.5,0.0,
Las 26 páginas😂😂,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
"este tipo y lara se burlan de la gente que lo sigue, pero bueno, tambien es culpa de la gente porque les gusta que se burlen en su cara.",30.0,50.0,50.0,5.0,5.0,5.0,63.0,0.0,
Todo copiando de el plan de Tuto,20.0,40.0,70.0,5.0,5.0,5.0,61.5,0.0,
No te van a financiar para tu bonos,10.0,30.0,60.0,5.0,5.0,5.0,55.5,0.0,
"Llevalo a Lara, que explique como se volvera capitan de la asamblea 🤣🤣🤣",20.0,40.0,80.0,5.0,5.0,5.0,63.0,0.0,
"No puede presentar en Bolivia, es necesario ir allá, que les interesa a ellos, necesitamos que presente en nuestro pais",10.0,5.0,80.0,5.0,5.0,5.0,53.5,0.0,
"No sabe ni expresarse políticamente, apenas llegará a reunirse con los conserjes. Llegar a Trump imposible, el huele a la chus… Ver más",20.0,40.0,70.0,5.0,5.0,5.0,61.5,0.0,
sera q trum lo recibe hagan sus apuestas,10.0,20.0,70.0,5.0,5.0,5.0,55.0,0.0,
No vas nadie te cree,10.0,5.0,80.0,5.0,5.0,5.0,53.5,0.0,
Como va entrar a EEUU si los isquierdistas no tienen entrada al Pais del norte.,70.0,85.0,90.0,5.0,10.0,5.0,85.5,-1.0,
Acaso es vende patria?,80.0,90.0,85.0,5.0,10.0,5.0,88.25,-1.0,
Guajajaj copiando a TUTO.,80.0,90.0,85.0,0.0,5.0,5.0,89.75,-1.0,
"Mirenlo al que no quería prestarse dinero, su plan de gobierno no dice nada",70.0,85.0,85.0,5.0,10.0,5.0,84.75,-1.0,
De paso que mencio las maravillosas obras que hizo en Tarija😁😁,75.0,70.0,75.0,10.0,5.0,5.0,81.0,-1.0,
"La deuda externa de 15 mil millones no es con el imperio, los gringos no prestan a los comunistas,en 20 años se endeudaron con… Ver más",60.0,70.0,75.0,5.0,5.0,5.0,78.25,-1.0,
"Cuando un candidato dice que traerá dinero del exterior, hay que saber la verdad: organismos como el BID, la CAF o el Banco Mu… Ver más",65.0,75.0,80.0,15.0,5.0,5.0,79.25,-1.0,
"Ya enloquecieron, con su programa escrito por chatgpt seremos la burla internacional",80.0,90.0,85.0,0.0,5.0,5.0,89.75,-1.0,
Que diga a los gringos que es aliado del masismo y a ver cómo le va. Lo sacarán a patadas,85.0,90.0,85.0,0.0,5.0,5.0,91.0,-1.0,
Que plan de gobierno ???? Ni a su VICE puede gobernar ....porfavor si estos no saben ni donde están parados,85.0,90.0,85.0,0.0,5.0,5.0,91.0,-1.0,
"Va a presentar su plan de gobierno en EEUU!!!!!!!!!!!!!!!!!!😪🤦🏻, no señor idiot@, usted no tiene que convencer allá, usted tie… Ver más",70.0,85.0,75.0,5.0,5.0,5.0,83.75,-1.0,
Pero a quien le vas a presentar tu plan de gobierno eso tenes que aclarar nos estas subestimando,70.0,70.0,70.0,10.0,5.0,5.0,79.0,-1.0,
"No pero primero dijo que con estados unidos nada que ver y ahora va, este tipo no sabe como llamar la atención",80.0,90.0,85.0,0.0,5.0,5.0,89.75,-1.0,
"Y lo va a hacer en inglés para que todos los masestas que lo siguen entonces entiendan al pie de la letra su ""plan"", esperemos… Ver más",85.0,90.0,85.0,0.0,5.0,5.0,91.0,-1.0,
Acaso no había dicho que no iba a prestarse dinero porque según plata habia y si nadie roba alcalzaba que paso demagogo 🤡,70.0,85.0,75.0,5.0,5.0,5.0,83.75,-1.0,
Quien le Ara caso jajaja jajaja ni para Tarija realizó nada,85.0,90.0,85.0,0.0,5.0,5.0,91.0,-1.0,
🤣🤣🤣🤣 llévate a Laris pero dile que el pasaje se compra de ida y vuelta aunque si no lo compra igual lo van a hacer volver grat… Ver más,70.0,85.0,70.0,0.0,5.0,5.0,84.0,-1.0,
Aber van en busca del dolar pero no se confundieron de país debían ir a china Rusia,70.0,85.0,70.0,5.0,5.0,5.0,83.0,-1.0,
Que va llevar si no tiene plan de gobierno ni para Bolivia...!!,85.0,90.0,75.0,5.0,5.0,5.0,88.5,-1.0,
TUTO PRESIDENTE,70.0,85.0,70.0,5.0,5.0,5.0,83.0,-1.0,
"Tu boca dice capitalismo, pero tus acciones dicen socialismo...a quien quieres engañar?",70.0,85.0,70.0,5.0,5.0,5.0,83.0,-1.0,
Ni a Bolivia se lo a presentado su programa de Gobierno y resulta que lo llevará a Estado Unidos,85.0,90.0,75.0,0.0,5.0,5.0,89.5,-1.0,
Y ahora que diran los anormales que lloraban por que Tuto fue a Estados Unidos?,70.0,85.0,70.0,5.0,5.0,5.0,83.0,-1.0,
Ese par de chiflados,85.0,90.0,70.0,0.0,5.0,5.0,88.75,-1.0,
El plan de gobierno lo queremos para Bolivia no para Estados Unidos🤣🤣🤣,75.0,85.0,75.0,5.0,5.0,5.0,85.0,-1.0,
Qué bruto es este.,70.0,85.0,70.0,5.0,5.0,5.0,83.0,-1.0,
EEUU YA SABE QUE ESTAN CONFABULA DO CON LOS SOCIALISTAS EMPOBRESEDORES.NO TE DARAN NI UN PESO,85.0,90.0,85.0,5.0,5.0,5.0,90.0,-1.0,
Tuto si presidente,5.0,5.0,70.0,5.0,5.0,5.0,50.75,0.0,
El programa de gobierno hecho con chatgpt???. Andá......,80.0,90.0,70.0,5.0,5.0,5.0,86.5,-1.0,
No no no.,5.0,5.0,5.0,5.0,5.0,5.0,41.0,0.0,
No entiendo?… pero si el criticó a Tuto por proponer prestarse dinero de los organismos internacionales … según él los autos c… Ver más,5.0,5.0,10.0,55.0,5.0,50.0,27.25,1.0,
